"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","16.03.2015","11:15:00","16.03.2015","12:50:00","Ложь","Истина","16.03.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","23.03.2015","11:15:00","23.03.2015","12:50:00","Ложь","Истина","23.03.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","30.03.2015","11:15:00","30.03.2015","12:50:00","Ложь","Истина","30.03.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","06.04.2015","11:15:00","06.04.2015","12:50:00","Ложь","Истина","06.04.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","20.04.2015","11:15:00","20.04.2015","12:50:00","Ложь","Истина","20.04.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","27.04.2015","11:15:00","27.04.2015","12:50:00","Ложь","Истина","27.04.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","04.05.2015","11:15:00","04.05.2015","12:50:00","Ложь","Истина","04.05.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"Філ Лк 424 ПІ-13-1,2,3,4,5,6","11.05.2015","11:15:00","11.05.2015","12:50:00","Ложь","Истина","11.05.2015","11:10:00","2","Обычная","Філ Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Пз 141 ПІ-13-5","18.05.2015","11:15:00","18.05.2015","12:50:00","Ложь","Истина","18.05.2015","11:10:00","2","Обычная","КПЗ Пз 141 ПІ-13-5","Обычный"
"Філ Конс 208и ПІ-13-5","25.05.2015","11:15:00","25.05.2015","12:50:00","Ложь","Истина","25.05.2015","11:10:00","2","Обычная","Філ Конс 208и ПІ-13-5","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","02.02.2015","13:10:00","02.02.2015","14:45:00","Ложь","Истина","02.02.2015","13:05:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лб ФІЛІЯ_1 ПІ-13-5","09.02.2015","13:10:00","09.02.2015","14:45:00","Ложь","Истина","09.02.2015","13:05:00","2","Обычная","БД Лб ФІЛІЯ_1 ПІ-13-5","Обычный"
"ОJava Лк 106и ПІ-13-1,2,3,4,5,6","16.02.2015","13:10:00","16.02.2015","14:45:00","Ложь","Истина","16.02.2015","13:05:00","2","Обычная","ОJava Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"ОJava Лк 106и ПІ-13-1,2,3,4,5,6","23.02.2015","13:10:00","23.02.2015","14:45:00","Ложь","Истина","23.02.2015","13:05:00","2","Обычная","ОJava Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"ОJava Лк 106и ПІ-13-1,2,3,4,5,6","02.03.2015","13:10:00","02.03.2015","14:45:00","Ложь","Истина","02.03.2015","13:05:00","2","Обычная","ОJava Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
