"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ОС Лб 165-5 ПІ-13-5","29.04.2015","07:45:00","29.04.2015","09:20:00","Ложь","Истина","29.04.2015","07:40:00","2","Обычная","ОС Лб 165-5 ПІ-13-5","Обычный"
"ОJava Пз 287 ПІ-13-5","13.05.2015","07:45:00","13.05.2015","09:20:00","Ложь","Истина","13.05.2015","07:40:00","2","Обычная","ОJava Пз 287 ПІ-13-5","Обычный"
"ОС Лб 165-3 ПІ-13-5","20.05.2015","07:45:00","20.05.2015","09:20:00","Ложь","Истина","20.05.2015","07:40:00","2","Обычная","ОС Лб 165-3 ПІ-13-5","Обычный"
"ОС Лб 165-6 ПІ-13-5","03.06.2015","07:45:00","03.06.2015","09:20:00","Ложь","Истина","03.06.2015","07:40:00","2","Обычная","ОС Лб 165-6 ПІ-13-5","Обычный"
"Філ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","04.02.2015","09:30:00","04.02.2015","11:05:00","Ложь","Истина","04.02.2015","09:25:00","2","Обычная","Філ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лб ФІЛІЯ_1 ПІ-13-5","11.02.2015","09:30:00","11.02.2015","11:05:00","Ложь","Истина","11.02.2015","09:25:00","2","Обычная","КПЗ Лб ФІЛІЯ_1 ПІ-13-5","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","18.02.2015","09:30:00","18.02.2015","11:05:00","Ложь","Истина","18.02.2015","09:25:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","25.02.2015","09:30:00","25.02.2015","11:05:00","Ложь","Истина","25.02.2015","09:25:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","04.03.2015","09:30:00","04.03.2015","11:05:00","Ложь","Истина","04.03.2015","09:25:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Пз 310и ПІ-13-5","11.03.2015","09:30:00","11.03.2015","11:05:00","Ложь","Истина","11.03.2015","09:25:00","2","Обычная","ОС Пз 310и ПІ-13-5","Обычный"
"ОС Лб 165-5 ПІ-13-5","18.03.2015","09:30:00","18.03.2015","11:05:00","Ложь","Истина","18.03.2015","09:25:00","2","Обычная","ОС Лб 165-5 ПІ-13-5","Обычный"
"ОС Пз 308и ПІ-13-5","25.03.2015","09:30:00","25.03.2015","11:05:00","Ложь","Истина","25.03.2015","09:25:00","2","Обычная","ОС Пз 308и ПІ-13-5","Обычный"
"ЕлДо Пз 340 ПІ-13-5","01.04.2015","09:30:00","01.04.2015","11:05:00","Ложь","Истина","01.04.2015","09:25:00","2","Обычная","ЕлДо Пз 340 ПІ-13-5","Обычный"
"ОС Лб 165-5 ПІ-13-5","08.04.2015","09:30:00","08.04.2015","11:05:00","Ложь","Истина","08.04.2015","09:25:00","2","Обычная","ОС Лб 165-5 ПІ-13-5","Обычный"
"КПЗ Конс 313и ПІ-13-5","15.04.2015","09:30:00","15.04.2015","11:05:00","Ложь","Истина","15.04.2015","09:25:00","2","Обычная","КПЗ Конс 313и ПІ-13-5","Обычный"
"ОС Пз 206и ПІ-13-5","22.04.2015","09:30:00","22.04.2015","11:05:00","Ложь","Истина","22.04.2015","09:25:00","2","Обычная","ОС Пз 206и ПІ-13-5","Обычный"
"ОС Лб 165-5 ПІ-13-5","29.04.2015","09:30:00","29.04.2015","11:05:00","Ложь","Истина","29.04.2015","09:25:00","2","Обычная","ОС Лб 165-5 ПІ-13-5","Обычный"
"БД Пз 308и ПІ-13-5","06.05.2015","09:30:00","06.05.2015","11:05:00","Ложь","Истина","06.05.2015","09:25:00","2","Обычная","БД Пз 308и ПІ-13-5","Обычный"
"ОС Пз 411и ПІ-13-5","13.05.2015","09:30:00","13.05.2015","11:05:00","Ложь","Истина","13.05.2015","09:25:00","2","Обычная","ОС Пз 411и ПІ-13-5","Обычный"
"ОС Лб 165-3 ПІ-13-5","20.05.2015","09:30:00","20.05.2015","11:05:00","Ложь","Истина","20.05.2015","09:25:00","2","Обычная","ОС Лб 165-3 ПІ-13-5","Обычный"
"ОJava Конс 287 ПІ-13-5","27.05.2015","09:30:00","27.05.2015","11:05:00","Ложь","Истина","27.05.2015","09:25:00","2","Обычная","ОJava Конс 287 ПІ-13-5","Обычный"
"ОС Лб 165-6 ПІ-13-5","03.06.2015","09:30:00","03.06.2015","11:05:00","Ложь","Истина","03.06.2015","09:25:00","2","Обычная","ОС Лб 165-6 ПІ-13-5","Обычный"
"БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","04.02.2015","11:15:00","04.02.2015","12:50:00","Ложь","Истина","04.02.2015","11:10:00","2","Обычная","БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лб ФІЛІЯ_1 ПІ-13-5","11.02.2015","11:15:00","11.02.2015","12:50:00","Ложь","Истина","11.02.2015","11:10:00","2","Обычная","КПЗ Лб ФІЛІЯ_1 ПІ-13-5","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","18.02.2015","11:15:00","18.02.2015","12:50:00","Ложь","Истина","18.02.2015","11:10:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","25.02.2015","11:15:00","25.02.2015","12:50:00","Ложь","Истина","25.02.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","04.03.2015","11:15:00","04.03.2015","12:50:00","Ложь","Истина","04.03.2015","11:10:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","11.03.2015","11:15:00","11.03.2015","12:50:00","Ложь","Истина","11.03.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","18.03.2015","11:15:00","18.03.2015","12:50:00","Ложь","Истина","18.03.2015","11:10:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","25.03.2015","11:15:00","25.03.2015","12:50:00","Ложь","Истина","25.03.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","01.04.2015","11:15:00","01.04.2015","12:50:00","Ложь","Истина","01.04.2015","11:10:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","08.04.2015","11:15:00","08.04.2015","12:50:00","Ложь","Истина","08.04.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","15.04.2015","11:15:00","15.04.2015","12:50:00","Ложь","Истина","15.04.2015","11:10:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","22.04.2015","11:15:00","22.04.2015","12:50:00","Ложь","Истина","22.04.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","29.04.2015","11:15:00","29.04.2015","12:50:00","Ложь","Истина","29.04.2015","11:10:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","06.05.2015","11:15:00","06.05.2015","12:50:00","Ложь","Истина","06.05.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","13.05.2015","11:15:00","13.05.2015","12:50:00","Ложь","Истина","13.05.2015","11:10:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк 102и ПІ-13-1,2,3,4,5,6","20.05.2015","11:15:00","20.05.2015","12:50:00","Ложь","Истина","20.05.2015","11:10:00","2","Обычная","БД Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Конс 207и ПІ-13-5","27.05.2015","11:15:00","27.05.2015","12:50:00","Ложь","Истина","27.05.2015","11:10:00","2","Обычная","ОС Конс 207и ПІ-13-5","Обычный"
"Пр_П Лк 102и ПІ-13-1,2,3,4,5,6","03.06.2015","11:15:00","03.06.2015","12:50:00","Ложь","Истина","03.06.2015","11:10:00","2","Обычная","Пр_П Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","04.02.2015","13:10:00","04.02.2015","14:45:00","Ложь","Истина","04.02.2015","13:05:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Конс ФІЛІЯ_1 ПІ-13-5","11.02.2015","13:10:00","11.02.2015","14:45:00","Ложь","Истина","11.02.2015","13:05:00","2","Обычная","КПЗ Конс ФІЛІЯ_1 ПІ-13-5","Обычный"
"БД Пз 413 ПІ-13-5","11.03.2015","13:10:00","11.03.2015","14:45:00","Ложь","Истина","11.03.2015","13:05:00","2","Обычная","БД Пз 413 ПІ-13-5","Обычный"
"БД Пз 329 ПІ-13-5","01.04.2015","13:10:00","01.04.2015","14:45:00","Ложь","Истина","01.04.2015","13:05:00","2","Обычная","БД Пз 329 ПІ-13-5","Обычный"
"КПЗ Пз 287 ПІ-13-5","06.05.2015","13:10:00","06.05.2015","14:45:00","Ложь","Истина","06.05.2015","13:05:00","2","Обычная","КПЗ Пз 287 ПІ-13-5","Обычный"
"БД Пз 40з ПІ-13-5","20.05.2015","13:10:00","20.05.2015","14:45:00","Ложь","Истина","20.05.2015","13:05:00","2","Обычная","БД Пз 40з ПІ-13-5","Обычный"
"БД Конс ФІЛІЯ_1 ПІ-13-5","04.02.2015","14:55:00","04.02.2015","16:30:00","Ложь","Истина","04.02.2015","14:50:00","2","Обычная","БД Конс ФІЛІЯ_1 ПІ-13-5","Обычный"
"ЕлДо Пз 345 ПІ-13-5","11.03.2015","14:55:00","11.03.2015","16:30:00","Ложь","Истина","11.03.2015","14:50:00","2","Обычная","ЕлДо Пз 345 ПІ-13-5","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","19.02.2015","07:45:00","19.02.2015","09:20:00","Ложь","Истина","19.02.2015","07:40:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","26.02.2015","07:45:00","26.02.2015","09:20:00","Ложь","Истина","26.02.2015","07:40:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лб 365 ПІ-13-5","05.03.2015","07:45:00","05.03.2015","09:20:00","Ложь","Истина","05.03.2015","07:40:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","26.03.2015","07:45:00","26.03.2015","09:20:00","Ложь","Истина","26.03.2015","07:40:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"ЕлДо Лб 151-1 ПІ-13-5","02.04.2015","07:45:00","02.04.2015","09:20:00","Ложь","Истина","02.04.2015","07:40:00","2","Обычная","ЕлДо Лб 151-1 ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","16.04.2015","07:45:00","16.04.2015","09:20:00","Ложь","Истина","16.04.2015","07:40:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","07.05.2015","07:45:00","07.05.2015","09:20:00","Ложь","Истина","07.05.2015","07:40:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","28.05.2015","07:45:00","28.05.2015","09:20:00","Ложь","Истина","28.05.2015","07:40:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","19.02.2015","09:30:00","19.02.2015","11:05:00","Ложь","Истина","19.02.2015","09:25:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","26.02.2015","09:30:00","26.02.2015","11:05:00","Ложь","Истина","26.02.2015","09:25:00","2","Обычная","Пр_П Лк 106и ПІ-13-1,2,3,4,5,6","Обычный"
"Пр_П Лб 365 ПІ-13-5","05.03.2015","09:30:00","05.03.2015","11:05:00","Ложь","Истина","05.03.2015","09:25:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"АК Пз 308и ПІ-13-5","19.03.2015","09:30:00","19.03.2015","11:05:00","Ложь","Истина","19.03.2015","09:25:00","2","Обычная","АК Пз 308и ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","26.03.2015","09:30:00","26.03.2015","11:05:00","Ложь","Истина","26.03.2015","09:25:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"ЕлДо Лб 151-1 ПІ-13-5","02.04.2015","09:30:00","02.04.2015","11:05:00","Ложь","Истина","02.04.2015","09:25:00","2","Обычная","ЕлДо Лб 151-1 ПІ-13-5","Обычный"
"КПЗ Пз 207и ПІ-13-5","09.04.2015","09:30:00","09.04.2015","11:05:00","Ложь","Истина","09.04.2015","09:25:00","2","Обычная","КПЗ Пз 207и ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","16.04.2015","09:30:00","16.04.2015","11:05:00","Ложь","Истина","16.04.2015","09:25:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"БД Пз 314и ПІ-13-5","23.04.2015","09:30:00","23.04.2015","11:05:00","Ложь","Истина","23.04.2015","09:25:00","2","Обычная","БД Пз 314и ПІ-13-5","Обычный"
"ОJava Конс 287 ПІ-13-5","30.04.2015","09:30:00","30.04.2015","11:05:00","Ложь","Истина","30.04.2015","09:25:00","2","Обычная","ОJava Конс 287 ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","07.05.2015","09:30:00","07.05.2015","11:05:00","Ложь","Истина","07.05.2015","09:25:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"КПЗ Конс 412и ПІ-13-5","14.05.2015","09:30:00","14.05.2015","11:05:00","Ложь","Истина","14.05.2015","09:25:00","2","Обычная","КПЗ Конс 412и ПІ-13-5","Обычный"
"ОJava Конс 285 ПІ-13-5","21.05.2015","09:30:00","21.05.2015","11:05:00","Ложь","Истина","21.05.2015","09:25:00","2","Обычная","ОJava Конс 285 ПІ-13-5","Обычный"
"Пр_П Лб 365 ПІ-13-5","28.05.2015","09:30:00","28.05.2015","11:05:00","Ложь","Истина","28.05.2015","09:25:00","2","Обычная","Пр_П Лб 365 ПІ-13-5","Обычный"
"БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","05.02.2015","11:15:00","05.02.2015","12:50:00","Ложь","Истина","05.02.2015","11:10:00","2","Обычная","БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лб 165-2 ПІ-13-5","19.03.2015","11:15:00","19.03.2015","12:50:00","Ложь","Истина","19.03.2015","11:10:00","2","Обычная","БД Лб 165-2 ПІ-13-5","Обычный"
"Пр_П Конс 285 ПІ-13-5","26.03.2015","11:15:00","26.03.2015","12:50:00","Ложь","Истина","26.03.2015","11:10:00","2","Обычная","Пр_П Конс 285 ПІ-13-5","Обычный"
"БД Лб 166вц ПІ-13-5","09.04.2015","11:15:00","09.04.2015","12:50:00","Ложь","Истина","09.04.2015","11:10:00","2","Обычная","БД Лб 166вц ПІ-13-5","Обычный"
"Філ Пз 607и ПІ-13-5","16.04.2015","11:15:00","16.04.2015","12:50:00","Ложь","Истина","16.04.2015","11:10:00","2","Обычная","Філ Пз 607и ПІ-13-5","Обычный"
"Пр_П Конс 365 ПІ-13-5","23.04.2015","11:15:00","23.04.2015","12:50:00","Ложь","Истина","23.04.2015","11:10:00","2","Обычная","Пр_П Конс 365 ПІ-13-5","Обычный"
"БД Лб 166вц ПІ-13-5","30.04.2015","11:15:00","30.04.2015","12:50:00","Ложь","Истина","30.04.2015","11:10:00","2","Обычная","БД Лб 166вц ПІ-13-5","Обычный"
"Пр_П Конс 285 ПІ-13-5","07.05.2015","11:15:00","07.05.2015","12:50:00","Ложь","Истина","07.05.2015","11:10:00","2","Обычная","Пр_П Конс 285 ПІ-13-5","Обычный"
"БД Конс 150 ПІ-13-5","14.05.2015","11:15:00","14.05.2015","12:50:00","Ложь","Истина","14.05.2015","11:10:00","2","Обычная","БД Конс 150 ПІ-13-5","Обычный"
"БД Лб 165-2 ПІ-13-5","21.05.2015","11:15:00","21.05.2015","12:50:00","Ложь","Истина","21.05.2015","11:10:00","2","Обычная","БД Лб 165-2 ПІ-13-5","Обычный"
"БД Конс 54з ПІ-13-5","28.05.2015","11:15:00","28.05.2015","12:50:00","Ложь","Истина","28.05.2015","11:10:00","2","Обычная","БД Конс 54з ПІ-13-5","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","05.02.2015","13:10:00","05.02.2015","14:45:00","Ложь","Истина","05.02.2015","13:05:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лб 165-2 ПІ-13-5","19.03.2015","13:10:00","19.03.2015","14:45:00","Ложь","Истина","19.03.2015","13:05:00","2","Обычная","БД Лб 165-2 ПІ-13-5","Обычный"
"БД Лб 166вц ПІ-13-5","09.04.2015","13:10:00","09.04.2015","14:45:00","Ложь","Истина","09.04.2015","13:05:00","2","Обычная","БД Лб 166вц ПІ-13-5","Обычный"
"БД Лб 166вц ПІ-13-5","30.04.2015","13:10:00","30.04.2015","14:45:00","Ложь","Истина","30.04.2015","13:05:00","2","Обычная","БД Лб 166вц ПІ-13-5","Обычный"
"БД Лб 165-2 ПІ-13-5","21.05.2015","13:10:00","21.05.2015","14:45:00","Ложь","Истина","21.05.2015","13:05:00","2","Обычная","БД Лб 165-2 ПІ-13-5","Обычный"
"ІмПко Пз ФІЛІЯ_1 ПІ-13-5","06.02.2015","07:45:00","06.02.2015","09:20:00","Ложь","Истина","06.02.2015","07:40:00","2","Обычная","ІмПко Пз ФІЛІЯ_1 ПІ-13-5","Обычный"
"ІмПко Пз ФІЛІЯ_1 ПІ-13-5","13.02.2015","07:45:00","13.02.2015","09:20:00","Ложь","Истина","13.02.2015","07:40:00","2","Обычная","ІмПко Пз ФІЛІЯ_1 ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","20.02.2015","07:45:00","20.02.2015","09:20:00","Ложь","Истина","20.02.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","27.02.2015","07:45:00","27.02.2015","09:20:00","Ложь","Истина","27.02.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","06.03.2015","07:45:00","06.03.2015","09:20:00","Ложь","Истина","06.03.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","13.03.2015","07:45:00","13.03.2015","09:20:00","Ложь","Истина","13.03.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","20.03.2015","07:45:00","20.03.2015","09:20:00","Ложь","Истина","20.03.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","27.03.2015","07:45:00","27.03.2015","09:20:00","Ложь","Истина","27.03.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","03.04.2015","07:45:00","03.04.2015","09:20:00","Ложь","Истина","03.04.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","10.04.2015","07:45:00","10.04.2015","09:20:00","Ложь","Истина","10.04.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","17.04.2015","07:45:00","17.04.2015","09:20:00","Ложь","Истина","17.04.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Конс 234 ПІ-13-5","24.04.2015","07:45:00","24.04.2015","09:20:00","Ложь","Истина","24.04.2015","07:40:00","2","Обычная","ІмПко Конс 234 ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","08.05.2015","07:45:00","08.05.2015","09:20:00","Ложь","Истина","08.05.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","15.05.2015","07:45:00","15.05.2015","09:20:00","Ложь","Истина","15.05.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Пз 304и ПІ-13-5","22.05.2015","07:45:00","22.05.2015","09:20:00","Ложь","Истина","22.05.2015","07:40:00","2","Обычная","ІмПко Пз 304и ПІ-13-5","Обычный"
"ІмПко Конс 304и ПІ-13-5","29.05.2015","07:45:00","29.05.2015","09:20:00","Ложь","Истина","29.05.2015","07:40:00","2","Обычная","ІмПко Конс 304и ПІ-13-5","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","06.02.2015","09:30:00","06.02.2015","11:05:00","Ложь","Истина","06.02.2015","09:25:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","13.02.2015","09:30:00","13.02.2015","11:05:00","Ложь","Истина","13.02.2015","09:25:00","2","Обычная","КПЗ Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","20.02.2015","09:30:00","20.02.2015","11:05:00","Ложь","Истина","20.02.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","27.02.2015","09:30:00","27.02.2015","11:05:00","Ложь","Истина","27.02.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","06.03.2015","09:30:00","06.03.2015","11:05:00","Ложь","Истина","06.03.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","13.03.2015","09:30:00","13.03.2015","11:05:00","Ложь","Истина","13.03.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","20.03.2015","09:30:00","20.03.2015","11:05:00","Ложь","Истина","20.03.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","27.03.2015","09:30:00","27.03.2015","11:05:00","Ложь","Истина","27.03.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","03.04.2015","09:30:00","03.04.2015","11:05:00","Ложь","Истина","03.04.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","10.04.2015","09:30:00","10.04.2015","11:05:00","Ложь","Истина","10.04.2015","09:25:00","2","Обычная","КПЗ Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","17.04.2015","09:30:00","17.04.2015","11:05:00","Ложь","Истина","17.04.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 424 ПІ-13-1,2,3,4,5,6","24.04.2015","09:30:00","24.04.2015","11:05:00","Ложь","Истина","24.04.2015","09:25:00","2","Обычная","ОС Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","08.05.2015","09:30:00","08.05.2015","11:05:00","Ложь","Истина","08.05.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","15.05.2015","09:30:00","15.05.2015","11:05:00","Ложь","Истина","15.05.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","22.05.2015","09:30:00","22.05.2015","11:05:00","Ложь","Истина","22.05.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОС Лк 102и ПІ-13-1,2,3,4,5,6","29.05.2015","09:30:00","29.05.2015","11:05:00","Ложь","Истина","29.05.2015","09:25:00","2","Обычная","ОС Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","06.02.2015","11:15:00","06.02.2015","12:50:00","Ложь","Истина","06.02.2015","11:10:00","2","Обычная","БД Лк ФІЛІЯ_1 ПІ-13-1,2,3,4,5,6","Обычный"
"БД Конс ФІЛІЯ_1 ПІ-13-5","13.02.2015","11:15:00","13.02.2015","12:50:00","Ложь","Истина","13.02.2015","11:10:00","2","Обычная","БД Конс ФІЛІЯ_1 ПІ-13-5","Обычный"
"АК Лк 104и ПІ-13-1,2,3,4,5,6","20.02.2015","11:15:00","20.02.2015","12:50:00","Ложь","Истина","20.02.2015","11:10:00","2","Обычная","АК Лк 104и ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лк 102и ПІ-13-1,2,3,4,5,6","27.02.2015","11:15:00","27.02.2015","12:50:00","Ложь","Истина","27.02.2015","11:10:00","2","Обычная","АК Лк 102и ПІ-13-1,2,3,4,5,6","Обычный"
"ОJava Лк 424 ПІ-13-1,2,3,4,5,6","06.03.2015","11:15:00","06.03.2015","12:50:00","Ложь","Истина","06.03.2015","11:10:00","2","Обычная","ОJava Лк 424 ПІ-13-1,2,3,4,5,6","Обычный"
"АК Лб 32з ПІ-13-5","13.03.2015","11:15:00","13.03.2015","12:50:00","Ложь","Истина","13.03.2015","11:10:00","2","Обычная","АК Лб 32з ПІ-13-5","Обычный"
"КПЗ Лб 165-2 ПІ-13-5","20.03.2015","11:15:00","20.03.2015","12:50:00","Ложь","Истина","20.03.2015","11:10:00","2","Обычная","КПЗ Лб 165-2 ПІ-13-5","Обычный"
"АК Лб 32з ПІ-13-5","27.03.2015","11:15:00","27.03.2015","12:50:00","Ложь","Истина","27.03.2015","11:10:00","2","Обычная","АК Лб 32з ПІ-13-5","Обычный"
